0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.000000 0.000000 -0.008846 -0.038863 0.031998 0.049703 -0.141412 -0.102484 -0.010342 0.062536 
-0.170508 -0.175101 -0.159170 -0.332093 -0.041138 -0.005378 -0.084129 -0.110753 -0.244782 0.004254 
-0.138976 -0.006822 -0.095415 -0.022405 -0.174842 0.144960 0.538928 0.186681 -0.038560 -0.278515 
0.090755 0.141840 0.027344 0.246677 -0.138312 0.337541 0.242786 0.312818 -0.377523 -0.787432 
0.207399 0.321007 -0.156861 -0.199525 -0.306504 -0.585108 -0.744163 -1.096086 -1.616015 -2.040087 
-1.868465 -2.073098 -1.940935 -2.659378 -2.610435 -1.639965 -2.444034 -2.316203 -2.968925 -3.469823 
-2.939686 -2.720731 -1.602536 -1.307038 -1.502956 -1.484657 -1.641605 -1.170833 -0.338716 -1.011557 
-0.627748 -1.081064 -1.032242 -1.780904 -1.582099 -1.641180 -1.743031 -1.948813 -2.090552 -1.997965 
-2.555680 -1.971349 -2.256741 -1.784135 -0.853151 -0.905770 -0.278359 -0.327671 0.146531 0.240784 
-0.199224 0.293955 0.260767 0.206116 -0.313147 -0.084231 -0.247004 -0.367249 -0.462711 -0.401555 
-0.354029 -0.171819 -0.171740 -0.251652 -0.082430 -0.168143 -0.086713 -0.051869 -0.010882 0.155692 
0.314399 0.364943 0.290594 0.307467 0.290831 0.248644 0.224024 0.188008 0.170570 0.157962 
0.147368 0.128745 0.115853 0.104650 0.094024 0.085211 0.076173 0.068423 0.061617 0.055361 
0.049764 0.044753 0.040336 0.036338 0.032747 0.029467 0.026532 0.023894 0.021515 0.019365 
0.017428 0.015685 0.014116 0.012706 0.011435 0.010291 0.009262 0.008335 0.007502 0.006752 
0.006076 0.005469 0.004922 0.004430 0.003987 0.003588 0.003229 0.002906 0.002616 0.002354 
0.002119 0.001907 0.001716 0.001544 0.001390 0.001251 0.001126 0.001013 0.000912 0.000821 
0.000739 0.000665 0.000598 0.000539 0.000485 0.000436 0.000393 0.000353 0.000318 0.000286 
0.000258 0.000232 0.000209 0.000188 0.000169 0.000152 0.000137 0.000123 0.000111 0.000100 
0.000090 0.000081 0.000073 0.000065 0.000059 0.000053 0.000048 0.000043 0.000039 0.000035 
